user_id,trade_date,trade_type,market,stock_symbol,quantity,price,trade_amount,commission,profit_loss,timestamp
user_0001,2025-08-22,sell,KR,현대모비스,69,160927,11103963,1665.5944499999998,1828644,2025-08-22T08:04:34.442355
user_0001,2025-08-15,buy,KR,현대차,41,21097,864977,129.74654999999998,0,2025-08-15T08:04:34.442382
user_0001,2025-08-13,sell,KR,한국전력,38,104616,3975408,596.3112,-67726,2025-08-13T08:04:34.442388
user_0001,2025-07-26,sell,KR,POSCO,84,70899,5955516,893.3273999999999,756037,2025-07-26T08:04:34.442401
user_0001,2025-07-18,sell,KR,현대모비스,58,58613,3399554,509.93309999999997,-372009,2025-07-18T08:04:34.442409
user_0001,2025-07-14,sell,US,TSLA,40,284,11360,1.704,1445,2025-07-14T08:04:34.442415
user_0001,2025-07-06,buy,KR,LG화학,90,24151,2173590,326.0385,0,2025-07-06T08:04:34.442422
user_0001,2025-06-20,sell,KR,롯데케미칼,42,94015,3948630,592.2945,-286215,2025-06-20T08:04:34.442435
user_0001,2025-06-17,buy,US,TSLA,62,75,4650,0.6974999999999999,0,2025-06-17T08:04:34.442439
user_0002,2025-09-03,buy,KR,하나금융지주,9,178029,1602261,240.33915,0,2025-09-03T08:04:34.442485
user_0002,2025-09-02,buy,KR,NH투자증권,72,118327,8519544,1277.9316,0,2025-09-02T08:04:34.442489
user_0002,2025-08-27,sell,KR,NAVER,39,34576,1348464,202.26959999999997,228471,2025-08-27T08:04:34.442496
user_0002,2025-08-25,sell,KR,현대차,19,181648,3451312,517.6967999999999,-218984,2025-08-25T08:04:34.442500
user_0002,2025-08-17,sell,KR,신세계,18,101018,1818324,272.74859999999995,-205789,2025-08-17T08:04:34.442508
user_0002,2025-08-16,buy,KR,우리금융지주,72,76366,5498352,824.7528,0,2025-08-16T08:04:34.442511
user_0002,2025-08-15,sell,US,SQ,11,161,1771,0.26565,206,2025-08-15T08:04:34.442515
user_0002,2025-08-14,sell,US,MSFT,67,134,8978,1.3466999999999998,537,2025-08-14T08:04:34.442519
user_0002,2025-08-13,sell,KR,현대차,74,96504,7141296,1071.1943999999999,355675,2025-08-13T08:04:34.442522
user_0002,2025-08-11,sell,KR,롯데케미칼,79,57307,4527253,679.08795,180079,2025-08-11T08:04:34.442527
user_0002,2025-08-07,buy,US,META,50,38,1900,0.285,0,2025-08-07T08:04:34.442532
