user_id,date,cash_balance,invested_amount,total_assets,timestamp
user_0001,2025-09-09,104435547.3528,-25351214,79084333.3528,2025-09-09T08:04:34.612873
user_0001,2025-09-08,104447599.3528,-25351214,79096385.3528,2025-09-08T08:04:34.612898
user_0001,2025-09-07,104291019.3528,-25351214,78939805.3528,2025-09-07T08:04:34.612902
user_0001,2025-09-06,104284097.3528,-25351214,78932883.3528,2025-09-06T08:04:34.612905
user_0001,2025-09-05,104426989.3528,-25351214,79075775.3528,2025-09-05T08:04:34.612907
user_0001,2025-09-04,104304597.3528,-25351214,78953383.3528,2025-09-04T08:04:34.612910
user_0001,2025-09-03,104444746.3528,-25351214,79093532.3528,2025-09-03T08:04:34.612913
user_0001,2025-09-02,104284810.3528,-25351214,78933596.3528,2025-09-02T08:04:34.612917
user_0001,2025-09-01,104421676.3528,-25351214,79070462.3528,2025-09-01T08:04:34.612921
user_0001,2025-08-31,104345991.3528,-25351214,78994777.3528,2025-08-31T08:04:34.612924
user_0001,2025-08-30,104445689.3528,-25351214,79094475.3528,2025-08-30T08:04:34.612927
user_0001,2025-08-29,104399236.3528,-25351214,79048022.3528,2025-08-29T08:04:34.612929
user_0001,2025-08-28,104320327.3528,-25351214,78969113.3528,2025-08-28T08:04:34.612932
user_0001,2025-08-27,104325415.3528,-25351214,78974201.3528,2025-08-27T08:04:34.612935
user_0001,2025-08-26,104396488.3528,-25351214,79045274.3528,2025-08-26T08:04:34.612938
user_0001,2025-08-25,104303937.3528,-25351214,78952723.3528,2025-08-25T08:04:34.612940
user_0001,2025-08-24,104309962.3528,-25351214,78958748.3528,2025-08-24T08:04:34.612943
user_0001,2025-08-23,104330580.3528,-25351214,78979366.3528,2025-08-23T08:04:34.612945
user_0001,2025-08-22,104336707.3528,-25351214,78985493.3528,2025-08-22T08:04:34.612948
user_0001,2025-08-21,104291123.3528,-25351214,78939909.3528,2025-08-21T08:04:34.612951
user_0001,2025-08-20,104365285.3528,-25351214,79014071.3528,2025-08-20T08:04:34.612953
user_0001,2025-08-19,104399432.3528,-25351214,79048218.3528,2025-08-19T08:04:34.612956
user_0001,2025-08-18,104325137.3528,-25351214,78973923.3528,2025-08-18T08:04:34.612965
user_0001,2025-08-17,104451528.3528,-25351214,79100314.3528,2025-08-17T08:04:34.612968
user_0001,2025-08-16,104457562.3528,-25351214,79106348.3528,2025-08-16T08:04:34.612970
user_0001,2025-08-15,104461527.3528,-25351214,79110313.3528,2025-08-15T08:04:34.612973
user_0001,2025-08-14,104355472.3528,-25351214,79004258.3528,2025-08-14T08:04:34.612975
user_0001,2025-08-13,104279428.3528,-25351214,78928214.3528,2025-08-13T08:04:34.612978
user_0001,2025-08-12,104413146.3528,-25351214,79061932.3528,2025-08-12T08:04:34.612980
user_0001,2025-08-11,104298022.3528,-25351214,78946808.3528,2025-08-11T08:04:34.612983
user_0002,2025-09-09,34730816.0852,6735216,41466032.0852,2025-09-09T08:04:34.613712
user_0002,2025-09-08,34566004.0852,6735216,41301220.0852,2025-09-08T08:04:34.613720
user_0002,2025-09-07,34632634.0852,6735216,41367850.0852,2025-09-07T08:04:34.613723
user_0002,2025-09-06,34626274.0852,6735216,41361490.0852,2025-09-06T08:04:34.613727
user_0002,2025-09-05,34719898.0852,6735216,41455114.0852,2025-09-05T08:04:34.613730
user_0002,2025-09-04,34564281.0852,6735216,41299497.0852,2025-09-04T08:04:34.613732
user_0002,2025-09-03,34590772.0852,6735216,41325988.0852,2025-09-03T08:04:34.613735
user_0002,2025-09-02,34696026.0852,6735216,41431242.0852,2025-09-02T08:04:34.613737
user_0002,2025-09-01,34691773.0852,6735216,41426989.0852,2025-09-01T08:04:34.613740
user_0002,2025-08-31,34726539.0852,6735216,41461755.0852,2025-08-31T08:04:34.613742
user_0002,2025-08-30,34586626.0852,6735216,41321842.0852,2025-08-30T08:04:34.613745
user_0002,2025-08-29,34643954.0852,6735216,41379170.0852,2025-08-29T08:04:34.613748
user_0002,2025-08-28,34675568.0852,6735216,41410784.0852,2025-08-28T08:04:34.613750
user_0002,2025-08-27,34600736.0852,6735216,41335952.0852,2025-08-27T08:04:34.613753
user_0002,2025-08-26,34737826.0852,6735216,41473042.0852,2025-08-26T08:04:34.613756
user_0002,2025-08-25,34661355.0852,6735216,41396571.0852,2025-08-25T08:04:34.613758
user_0002,2025-08-24,34737659.0852,6735216,41472875.0852,2025-08-24T08:04:34.613761
user_0002,2025-08-23,34674847.0852,6735216,41410063.0852,2025-08-23T08:04:34.613763
user_0002,2025-08-22,34592484.0852,6735216,41327700.0852,2025-08-22T08:04:34.613766
user_0002,2025-08-21,34544302.0852,6735216,41279518.0852,2025-08-21T08:04:34.613768
user_0002,2025-08-20,34634952.0852,6735216,41370168.0852,2025-08-20T08:04:34.613771
user_0002,2025-08-19,34623898.0852,6735216,41359114.0852,2025-08-19T08:04:34.613773
user_0002,2025-08-18,34571405.0852,6735216,41306621.0852,2025-08-18T08:04:34.613776
user_0002,2025-08-17,34643367.0852,6735216,41378583.0852,2025-08-17T08:04:34.613779
user_0002,2025-08-16,34718240.0852,6735216,41453456.0852,2025-08-16T08:04:34.613782
user_0002,2025-08-15,34717641.0852,6735216,41452857.0852,2025-08-15T08:04:34.613785
user_0002,2025-08-14,34708122.0852,6735216,41443338.0852,2025-08-14T08:04:34.613787
user_0002,2025-08-13,34652701.0852,6735216,41387917.0852,2025-08-13T08:04:34.613790
user_0002,2025-08-12,34565941.0852,6735216,41301157.0852,2025-08-12T08:04:34.613793
user_0002,2025-08-11,34681544.0852,6735216,41416760.0852,2025-08-11T08:04:34.613795
user_0003,2025-09-09,97760164.3784,-4194460,93565704.3784,2025-09-09T08:04:34.614434
user_0003,2025-09-08,97788841.3784,-4194460,93594381.3784,2025-09-08T08:04:34.614440
user_0003,2025-09-07,97686715.3784,-4194460,93492255.3784,2025-09-07T08:04:34.614443
user_0003,2025-09-06,97773931.3784,-4194460,93579471.3784,2025-09-06T08:04:34.614445
user_0003,2025-09-05,97810132.3784,-4194460,93615672.3784,2025-09-05T08:04:34.614448
user_0003,2025-09-04,97634587.3784,-4194460,93440127.3784,2025-09-04T08:04:34.614451
user_0003,2025-09-03,97735965.3784,-4194460,93541505.3784,2025-09-03T08:04:34.614453
user_0003,2025-09-02,97628308.3784,-4194460,93433848.3784,2025-09-02T08:04:34.614456
user_0003,2025-09-01,97769455.3784,-4194460,93574995.3784,2025-09-01T08:04:34.614458
user_0003,2025-08-31,97720323.3784,-4194460,93525863.3784,2025-08-31T08:04:34.614461
user_0003,2025-08-30,97720304.3784,-4194460,93525844.3784,2025-08-30T08:04:34.614463
user_0003,2025-08-29,97719856.3784,-4194460,93525396.3784,2025-08-29T08:04:34.614466
user_0003,2025-08-28,97817253.3784,-4194460,93622793.3784,2025-08-28T08:04:34.614468
user_0003,2025-08-27,97702944.3784,-4194460,93508484.3784,2025-08-27T08:04:34.614471
user_0003,2025-08-26,97733402.3784,-4194460,93538942.3784,2025-08-26T08:04:34.614473
user_0003,2025-08-25,97803983.3784,-4194460,93609523.3784,2025-08-25T08:04:34.614476
user_0003,2025-08-24,97665180.3784,-4194460,93470720.3784,2025-08-24T08:04:34.614478
user_0003,2025-08-23,97813870.3784,-4194460,93619410.3784,2025-08-23T08:04:34.614482
user_0003,2025-08-22,97822459.3784,-4194460,93627999.3784,2025-08-22T08:04:34.614484
user_0003,2025-08-21,97728660.3784,-4194460,93534200.3784,2025-08-21T08:04:34.614487
user_0003,2025-08-20,97785330.3784,-4194460,93590870.3784,2025-08-20T08:04:34.614489
user_0003,2025-08-19,97696686.3784,-4194460,93502226.3784,2025-08-19T08:04:34.614492
user_0003,2025-08-18,97642581.3784,-4194460,93448121.3784,2025-08-18T08:04:34.614494
user_0003,2025-08-17,97770816.3784,-4194460,93576356.3784,2025-08-17T08:04:34.614496
user_0003,2025-08-16,97806058.3784,-4194460,93611598.3784,2025-08-16T08:04:34.614499
user_0003,2025-08-15,97787174.3784,-4194460,93592714.3784,2025-08-15T08:04:34.614501
user_0003,2025-08-14,97742211.3784,-4194460,93547751.3784,2025-08-14T08:04:34.614504
user_0003,2025-08-13,97762856.3784,-4194460,93568396.3784,2025-08-13T08:04:34.614506
user_0003,2025-08-12,97718386.3784,-4194460,93523926.3784,2025-08-12T08:04:34.614508
user_0003,2025-08-11,97812503.3784,-4194460,93618043.3784,2025-08-11T08:04:34.614511
user_0004,2025-09-09,0.0,3951866,3951866.0,2025-09-09T08:04:34.615110
user_0004,2025-09-08,0.0,3951866,3951866.0,2025-09-08T08:04:34.615116
user_0004,2025-09-07,0.0,3951866,3951866.0,2025-09-07T08:04:34.615119
user_0004,2025-09-06,0.0,3951866,3951866.0,2025-09-06T08:04:34.615122
user_0004,2025-09-05,0.0,3951866,3951866.0,2025-09-05T08:04:34.615124
user_0004,2025-09-04,0.0,3951866,3951866.0,2025-09-04T08:04:34.615127
user_0004,2025-09-03,0.0,3951866,3951866.0,2025-09-03T08:04:34.615129
user_0004,2025-09-02,0.0,3951866,3951866.0,2025-09-02T08:04:34.615131
user_0004,2025-09-01,0.0,3951866,3951866.0,2025-09-01T08:04:34.615134
user_0004,2025-08-31,0.0,3951866,3951866.0,2025-08-31T08:04:34.615136
user_0004,2025-08-30,0.0,3951866,3951866.0,2025-08-30T08:04:34.615139
user_0004,2025-08-29,0.0,3951866,3951866.0,2025-08-29T08:04:34.615141
user_0004,2025-08-28,0.0,3951866,3951866.0,2025-08-28T08:04:34.615144
user_0004,2025-08-27,0.0,3951866,3951866.0,2025-08-27T08:04:34.615146
user_0004,2025-08-26,0.0,3951866,3951866.0,2025-08-26T08:04:34.615148
user_0004,2025-08-25,0.0,3951866,3951866.0,2025-08-25T08:04:34.615151
user_0004,2025-08-24,0.0,3951866,3951866.0,2025-08-24T08:04:34.615153
user_0004,2025-08-23,0.0,3951866,3951866.0,2025-08-23T08:04:34.615156
user_0004,2025-08-22,0.0,3951866,3951866.0,2025-08-22T08:04:34.615158
user_0004,2025-08-21,0.0,3951866,3951866.0,2025-08-21T08:04:34.615161
user_0004,2025-08-20,0.0,3951866,3951866.0,2025-08-20T08:04:34.615163
user_0004,2025-08-19,0.0,3951866,3951866.0,2025-08-19T08:04:34.615166
user_0004,2025-08-18,0.0,3951866,3951866.0,2025-08-18T08:04:34.615168
user_0004,2025-08-17,0.0,3951866,3951866.0,2025-08-17T08:04:34.615170
user_0004,2025-08-16,0.0,3951866,3951866.0,2025-08-16T08:04:34.615173
user_0004,2025-08-15,0.0,3951866,3951866.0,2025-08-15T08:04:34.615175
user_0004,2025-08-14,0.0,3951866,3951866.0,2025-08-14T08:04:34.615178
user_0004,2025-08-13,0.0,3951866,3951866.0,2025-08-13T08:04:34.615180
user_0004,2025-08-12,0.0,3951866,3951866.0,2025-08-12T08:04:34.615183
user_0004,2025-08-11,0.0,3951866,3951866.0,2025-08-11T08:04:34.615185
user_0005,2025-09-09,39513786.64955,9938513,49452299.64955,2025-09-09T08:04:34.615766
user_0005,2025-09-08,39487844.64955,9938513,49426357.64955,2025-09-08T08:04:34.615772
user_0005,2025-09-07,39345503.64955,9938513,49284016.64955,2025-09-07T08:04:34.615774
user_0005,2025-09-06,39372708.64955,9938513,49311221.64955,2025-09-06T08:04:34.615777
user_0005,2025-09-05,39471237.64955,9938513,49409750.64955,2025-09-05T08:04:34.615780
user_0005,2025-09-04,39411479.64955,9938513,49349992.64955,2025-09-04T08:04:34.615782
user_0005,2025-09-03,39354496.64955,9938513,49293009.64955,2025-09-03T08:04:34.615785
user_0005,2025-09-02,39503549.64955,9938513,49442062.64955,2025-09-02T08:04:34.615787
user_0005,2025-09-01,39345152.64955,9938513,49283665.64955,2025-09-01T08:04:34.615790
user_0005,2025-08-31,39352763.64955,9938513,49291276.64955,2025-08-31T08:04:34.615793
user_0005,2025-08-30,39363762.64955,9938513,49302275.64955,2025-08-30T08:04:34.615796
user_0005,2025-08-29,39387654.64955,9938513,49326167.64955,2025-08-29T08:04:34.615798
user_0005,2025-08-28,39468470.64955,9938513,49406983.64955,2025-08-28T08:04:34.615801
user_0005,2025-08-27,39436843.64955,9938513,49375356.64955,2025-08-27T08:04:34.615804
user_0005,2025-08-26,39485503.64955,9938513,49424016.64955,2025-08-26T08:04:34.615806
user_0005,2025-08-25,39427746.64955,9938513,49366259.64955,2025-08-25T08:04:34.615809
user_0005,2025-08-24,39492152.64955,9938513,49430665.64955,2025-08-24T08:04:34.615811
